"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
26257,1997,"CA","CDF","TUU","LEWIS","00005071","1997/06/13 00:00:00+00","",2,NA,1,334.80948,1990
26270,1962,"CA","CDF","LNU","WIDOW CREEK","00000000","1962/08/26 00:00:01+00","",14,NA,1,10326.915,1960
26271,1962,"CA","CDF","FKU","HAWKINS","00000000","1962/05/23 00:00:01+00","",14,NA,1,538.80231,1960
26272,1962,"CA","CDF","MMU","LIGHTNING #2","00000000","1962/09/26 00:00:01+00","",14,NA,1,312.76895,1960
26273,1962,"CA","CDF","MMU","ROADSIDE #5","00000000","1962/08/08 00:00:01+00","",14,NA,1,900.98975,1960
26274,1962,"CA","USF","BDF"," ","00000000","","",14,NA,1,397.48889,1960
26275,1962,"CA","CDF","RRU","JACKRABBIT","00000000","1962/07/22 00:00:01+00","",14,NA,1,2987.0061,1960
26276,1962,"CA","CDF","RRU","RAWSON","00000000","1962/08/24 00:00:01+00","",14,NA,1,12946.259,1960
26277,1962,"CA","CDF","RRU","RYAN","00000000","1962/07/03 00:00:01+00","",14,NA,1,1418.1335,1960
26278,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,423.23679,1960
26279,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,809.91077,1960
26280,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,2653.2544,1960
26281,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,1491.2966,1960
26282,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,353.87729,1960
26283,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,1619.8281,1960
26284,1962,"CA","CDF","RRU"," ","00000000","","",14,NA,1,8238.6807,1960
26285,1962,"CA","CCO","VNC","CULBERT","00000000","1962/12/04 00:00:01+00","",14,NA,1,5314.2046,1960
26288,1980,"CA","USF","LPF","LOCKWOOD","00000000","1980/11/26 00:00:00+00","1980/11/30 00:00:00+00",4,8,1,5654.605,1980
26289,1980,"CA","CCO","VNC","SOUTH MOUNTAIN","00000000","1980/10/29 00:00:00+00","",14,NA,1,2395.3,1980
26291,1980,"CA","CDF","BDU","FORT","00000005","1980/03/20 00:00:00+00","",14,NA,1,314.38696,1980
